name,country,company,percent_shares
"NISA Investment Advisors, L.L.C.",USA,Newmont,0.02%
PKO Towarzystwo Funduszy Inwestycyjnych S.A.,Poland,Newmont,0.02%
Mutual of America Capital Management LLC,USA,Newmont,0.02%
BMO Asset Management U.S.,USA,Newmont,0.02%
RPMI Railpen,UK,Newmont,0.02%
"TSP Capital Management Group, LLC",USA,Newmont,0.02%
Edmond de Rothschild Asset Management (France) S.A.,France,Newmont,0.02%
"Jane Street Capital, L.L.C.",USA,Newmont,0.02%
Capital International Sarl,Switzerland,Newmont,0.02%
Van Hulzen Asset Management,USA,Newmont,0.02%
Intact Investment Management Inc.,Canada,Newmont,0.02%
SEI Investments Management Corporation,USA,Newmont,0.02%
Dorchester Wealth Management Company,Canada,Newmont,0.02%
Rothschild & Co Asset Management Europe SCS,France,Newmont,0.02%
Capital Markets Trading UK LLP,UK,Newmont,0.02%
Bennicas and Associates,USA,Newmont,0.02%
Eurizon Capital S.A.,Luxembourg,Newmont,0.02%
Baillie Gifford & Co.,UK,Newmont,0.02%
OxFORD Asset Management,UK,Newmont,0.02%
Caxton Associates LP,USA,Newmont,0.02%
Metropolitan Life Insurance Co. (US),USA,Newmont,0.02%
Morgan Stanley Canada Limited,Canada,Newmont,0.02%
"Compagnie Lombard, Odier SCA",Switzerland,Newmont,0.01%
NORINCHUKIN BANK,Japan,Newmont,0.01%
"Otter Creek Advisors, LLC",USA,Newmont,0.01%
"Mason Street Advisors, LLC",USA,Newmont,0.01%
Amalgamated Bank Institutional Asset Management & Custody,USA,Newmont,0.01%
Gottesfeld (Stephen P.),USA,Newmont,0.01%
Teacher Retirement System of Texas,USA,Newmont,0.01%
Caisse de Depot et Placement du Quebec,Canada,Newmont,0.01%
Glen Harbor Capital Management LLC,USA,Newmont,0.01%
Oppenheimer Asset Management Inc.,USA,Newmont,0.01%
CA Indosuez (Switzerland) S.A.,Switzerland,Newmont,0.01%
Horizons ETFs Management (Canada) Inc.,Canada,Newmont,0.01%
Empire Life Investments Inc.,Canada,Newmont,0.01%
"Vident Investment Advisory, LLC",USA,Newmont,0.01%
Bank Vontobel AG (Private Banking),Switzerland,Newmont,0.01%
Ostrum Asset Management,France,Newmont,0.01%
Dorward-King (Elaine J),USA,Newmont,0.01%
Moody National Bank,USA,Newmont,0.01%
Duality Group,USA,Newmont,0.01%
Andra AP-Fonden,Sweden,Newmont,0.01%
Capital Research & Management Company (Fixed Income),USA,Newmont,0.01%
Ampega Investment GmbH,Germany,Newmont,0.01%
LPL Financial LLC,USA,Newmont,0.01%
W.G. Shaheen & Associates DBA Whitney & Co,USA,Newmont,0.01%
Adrian Day Asset Management,USA,Newmont,0.01%
American National Insurance Co,USA,Newmont,0.01%
Ontario Teachers' Pension Plan Board,Canada,Newmont,0.01%
"Schafer Cullen Capital Management, Inc.",USA,Newmont,0.01%
Schroder Investment Management North America Inc.,USA,Newmont,0.01%
KLP Fondsforvaltning AS,Norway,Newmont,0.01%
"Peak 6 Capital Management, LLC",USA,Newmont,0.01%
"Essex Investment Management Company, LLC",USA,Newmont,0.01%
"Twin Tree Management, LP",USA,Newmont,0.01%
SK Vermögensverwaltung GmbH,Germany,Newmont,0.01%
"Lesa Sroufe & Company, Inc.",USA,Newmont,0.01%
DBX Advisors LLC.,USA,Newmont,0.01%
Assenagon Asset Management S.A.,Germany,Newmont,0.01%
Nissay Asset Management Corp.,Japan,Newmont,0.01%
Lawson (Scott P),USA,Newmont,0.01%
"Forest Hill Capital, LLC",USA,Newmont,0.01%
"TD Waterhouse Private Investment Counsel, Inc.",Canada,Newmont,0.01%
Meadow Creek Investment Management LLC,USA,Newmont,0.01%
Capital Guardian Trust Company,USA,Newmont,0.01%
Hillsdale Investment Management Inc.,Canada,Newmont,0.01%
Sal. Oppenheim jr. & Cie. AG & Co. KGaA (Asset Management),Germany,Newmont,0.01%
Alphacrest Capital Management LLC,USA,Newmont,0.01%
"Adams Funds Advisers, LLC",USA,Newmont,0.01%
Fondsmæglerselskabet Maj Invest A/S,Denmark,Newmont,0.01%
PEH Wertpapier AG,Germany,Newmont,0.01%
PNC Wealth Management,USA,Newmont,0.01%
"Pacer Advisors, Inc.",USA,Newmont,0.01%
Marketfield Asset Management LLC,USA,Newmont,0.01%
"Patton Fund Management, Inc.",USA,Newmont,0.01%
Hartford Investment Management Company,USA,Newmont,0.01%
"Capital Analysts, LLC",USA,Newmont,0.01%
IFM Investors,Australia,Newmont,0.01%
Axxion S.A.,Luxembourg,Newmont,0.01%
Talara Capital Management LLC,USA,Newmont,0.01%
Atkinson (Robert),Australia,Newmont,0.01%
"First Asset Investment Management, Inc.",Canada,Newmont,0.01%
Eaton Vance Management,USA,Newmont,0.01%
"Moore Capital Management, LP",USA,Newmont,0.01%
"Hightower Advisors, LLC",USA,Newmont,0.01%
"Securian Asset Management, Inc.",USA,Newmont,0.01%
"Nomura Securities Co., Ltd.",Japan,Newmont,0.01%
"Oxbow Advisors, LLC",USA,Newmont,0.01%
La Banque Postale Asset Management,France,Newmont,0.01%
Oregon Public Employees Retirement System,USA,Newmont,0.01%
Kentucky Teachers' Retirement System,USA,Newmont,0.01%
Atom Investors LP,USA,Newmont,0.01%
Federated MDTA LLC,USA,Newmont,0.01%
"ExxonMobil Investment Management, Inc.",USA,Newmont,0.01%
"Nikko Asset Management Americas, Inc.",USA,Newmont,0.01%
ESALIENS TFI SA,Poland,Newmont,0.01%
Aberdeen Standard Investments (Edinburgh),UK,Newmont,0.01%
Fosun International Ltd,Hong Kong,Newmont,0.01%
Manulife Investment Management (Hong Kong) Limited,Hong Kong,Newmont,0.01%
"NorthPointe Capital, LLC",USA,Newmont,0.01%
"High Pointe Capital Management, LLC",USA,Newmont,0.01%
"AFAM Capital, Inc.",USA,Newmont,0.01%
"Boyer & Corporon Wealth Management, LLC",USA,Newmont,0.01%
Sentry Investments Inc.,Canada,Newmont,0.01%
"U.S. Bancorp Asset Management, Inc.",USA,Newmont,0.01%
Elkfork Partners LLC,USA,Newmont,0.01%
"Segall Bryant & Hamill, LLC",USA,Newmont,0.01%
GAP Vermögensverwaltung GmbH,Germany,Newmont,0.01%
"Robinson Value Management, Ltd.",USA,Newmont,0.01%
Morgan Stanley & Co. International Plc,UK,Newmont,0.01%
"Kovitz Investment Group Partners, LLC",USA,Newmont,0.01%
"Gateway Investment Advisers, LLC",USA,Newmont,0.01%
InsingerGilissen Bankiers N.V.,Netherlands,Newmont,0.01%
Barclays Capital Inc.,USA,Newmont,0.01%
Integra Capital Management Corp.,Canada,Newmont,0.01%
Canal Insurance Company,USA,Newmont,0.01%
"Sumitomo Mitsui DS Asset Management Company, Limited",Japan,Newmont,0.01%
USCA RIA LLC,USA,Newmont,0.01%
"Penn Mutual Asset Management, LLC",USA,Newmont,0.01%
"Vaughan Nelson Investment Management, L.P.",USA,Newmont,0.01%
Commonwealth Bank of Australia,Australia,Newmont,0.01%
"Principal Funds, Inc.",USA,Newmont,0.01%
Pennsylvania Public School Employees Retirement System,USA,Newmont,0.01%
MLC Investments Limited,Australia,Newmont,0.01%
Commonwealth Financial Network,USA,Newmont,0.01%
"Atlantic Trust, LLC",USA,Newmont,0.01%
AEGON Investment Management B.V.,Netherlands,Newmont,0.01%
AMG Fondsverwaltung AG,Switzerland,Newmont,0.01%
"Bruce & Company, Inc.",USA,Newmont,0.01%
Orrell Capital Management Inc.,USA,Newmont,0.01%
Stone Ridge Asset Management LLC,USA,Newmont,0.01%
Kornitzer Capital Management Inc.,USA,Newmont,0.01%
Wealthfront Advisers LLC,USA,Newmont,0.01%
New Mexico Educational Retirement Board,USA,Newmont,0.01%
Pengana Capital Group Limited,Australia,Newmont,0.01%
Investitori SGR S.p.A.,Italy,Newmont,0.01%
"William Blair & Company, L.L.C. (Research)",USA,Newmont,0.01%
Legal & General Investment Management America Inc.,USA,Newmont,0.01%
Natixis Wealth Management SA,France,Newmont,0.01%
3 Banken-Generali Investment-Gesellschaft mbH,Austria,Newmont,0.01%
"Highland Capital Management, L.P.",USA,Newmont,0.01%
Stevens Capital Management LP,USA,Newmont,0.01%
Vontobel Asset Management AG,Switzerland,Newmont,0.01%
"Swaine & Leidel Wealth Services, LLC",USA,Newmont,0.01%
