Company,Mine Site,Aliases,Company's share (%),Country,Mining type,Products,Status as of 29.11.2019,Year of closure (if applicable),Opening Year,Acquisition Year,Latitude,Longitude,Selected for the mine-site level evaluation,Total Worker Fatalities (2017),Employee Fatalites (2017),Contract Worker Fatalities (2017),Other Fatalities (2017),Total Worker Fatalities (2018),Employee Fatalities (2018),Contract Worker Fatalities (2018),Other Fatalities (2018)
Coal India,Bastacolla,"BCCL, Jharia - Bastacolla, Cluster VIII",100,India,"Open-pit, Underground",Coal,Operational,,,,23.7693,86.4136,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Basundhara (East),MCL,100,India,,Coal,"Care and maintenance, or closure or post-closure management",Unknown,,,22.060267,83.724371,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Basundhara (West),MCL,100,India,,Coal,Operational,,,,,,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Begunia,"BCCL, Chanch/Victoria, Cluster XVII",100,India,Underground,Coal,Operational,,,,23.725,86.811,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Bejdih,"ECL, Cluster 6, Bejdi",100,India,Underground,Coal,Operational,,,,23.6888,86.8739,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Belbaid,"ECL, Cluster 10",100,India,Underground,Coal,Operational,,,,23.658,87.146,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Belpahar,MCL,100,India,,Coal,Operational,,,,21.7807,83.8476,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Bera,"BCCL, Jharia - Bastacolla, Cluster VIII",100,India,"Open-pit, Underground",Coal,Operational,,,,23.7599,86.4439,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Bhagaband,"BCCL, Jharia - Pootkee Balihari, Cluster XI",100,India,Underground,Coal,Operational,,,,23.742,86.372,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Bhanora,"ECL, Cluster 8",100,India,,Coal,"Care and maintenance, or closure or post-closure management",Unknown,,,23.712652,86.554537,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Bhanora West,"ECL, Cluster 7",100,India,,Coal,Operational,,,,,,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Bharatpur,MCL,100,India,,Coal,Operational,,,,20.9579,85.1936,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Bhatgaon,"SECL, Central India Coalfields (CIC)",100,India,,Coal,Operational,,,,23.4036,83.3536,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Bhowra,"BCCL, Eastern Jharia, Bhowra (North), Bhowra (South), Cluster X",100,India,"Open-pit, Underground",Coal,Operational,,,,23.688,86.3997,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
Coal India,Bhurkunda,"CCL, Barka Sayal",100,India,"Open-pit, Underground",Coal,Operational,,,,23.685,85.3255,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
